CUSTOMER;AGE;GENDER;OCCUPATION;TOTAL_INCOME;AREA;OBJECT_VER_NEW
122;37;L;PEG.SWASTA FORMAL;4200000;09. SUMATERA SELATAN;MOTOR BARU
123;32;L;PEG.SWASTA FORMAL;3500000;09. SUMATERA SELATAN;MOTOR BARU
124;33;L;WIRASWASTA NON FORMAL;4000000;09. SUMATERA SELATAN;MOTOR BEKAS
125;32;L;WIRASWASTA NON FORMAL;3000000;09. SUMATERA SELATAN;MOTOR BEKAS
126;36;L;WIRASWASTA NON FORMAL;3700000;06. SULAWESI;MOTOR BEKAS
127;23;L;WIRASWASTA NON FORMAL;5500000;09. SUMATERA SELATAN;MOTOR BARU
128;37;P;WIRASWASTA NON FORMAL;4500000;05. KALIMANTAN;MOTOR BARU
129;31;L;WIRASWASTA NON FORMAL;4000000;05. KALIMANTAN;MOTOR BARU
130;35;L;PEG.SWASTA FORMAL;3325000;09. SUMATERA SELATAN;MOTOR BARU
131;26;P;PEG.SWASTA NON FORMAL;4000000;09. SUMATERA SELATAN;MOTOR BARU
132;22;P;WIRASWASTA NON FORMAL;4000000;09. SUMATERA SELATAN;MOTOR BARU
133;24;L;PEG.SWASTA FORMAL;3200000;09. SUMATERA SELATAN;MOTOR BEKAS
134;30;P;WIRASWASTA NON FORMAL;2400000;09. SUMATERA SELATAN;2W_MPL
135;31;L;PEG.SWASTA FORMAL;3200000;09. SUMATERA SELATAN;MOTOR BEKAS
136;35;L;PEG.SWASTA FORMAL;3200000;03. JATIM;MOTOR BEKAS
137;40;L;WIRASWASTA NON FORMAL;8550000;02. JABAR;4W_MPL
138;33;P;PEG.SWASTA NON FORMAL;6500000;02. JABAR;MOTOR BEKAS
139;35;L;WIRASWASTA NON FORMAL;13000000;03. JATIM;MOTOR BEKAS
140;26;L;WIRASWASTA NON FORMAL;3300000;09. SUMATERA SELATAN;MOTOR BEKAS
141;40;L;PEG.NEGERI;3670000;03. JATIM;MOTOR BARU
142;41;P;WIRASWASTA NON FORMAL;3000000;03. JATIM;MOTOR BARU
143;36;L;PEG.SWASTA FORMAL;7000000;03. JATIM;MOTOR BARU
144;53;L;PEG.SWASTA NON FORMAL;3100000;03. JATIM;MOTOR BARU
145;22;L;PEG.SWASTA FORMAL;3000000;01. JABOTABEK;MOTOR BARU
146;47;L;PEG.SWASTA FORMAL;5500000;01. JABOTABEK;MOTOR BARU
147;42;L;PEG.SWASTA FORMAL;10000000;01. JABOTABEK;MOTOR BARU
148;23;P;WIRASWASTA NON FORMAL;2500000;03. JATIM;MOTOR BARU
149;32;L;WIRASWASTA NON FORMAL;51000000;02. JABAR;2W_MPL
150;59;L;WIRASWASTA NON FORMAL;21600000;02. JABAR;MOTOR BARU
151;36;L;WIRASWASTA NON FORMAL;5500000;02. JABAR;2W_MPL
152;39;L;WIRASWASTA NON FORMAL;28500000;02. JABAR;MOBIL BEKAS
153;47;L;WIRASWASTA FORMAL;3500000;01. JABOTABEK;MOTOR BARU
154;41;L;PEG.SWASTA FORMAL;7000000;01. JABOTABEK;MOTOR BARU
155;19;L;PEG.SWASTA FORMAL;3500000;04. JATENG;MOTOR BARU
156;48;L;WIRASWASTA NON FORMAL;5500000;06. SULAWESI;MOTOR BARU
157;32;P;PEG.SWASTA NON FORMAL;5300000;06. SULAWESI;MOTOR BARU
158;45;P;PEG.NEGERI;5500000;06. SULAWESI;MOTOR BARU
159;46;L;PEG.SWASTA NON FORMAL;2500000;04. JATENG;MOTOR BARU
160;51;L;WIRASWASTA FORMAL;12000000;01. JABOTABEK;MOTOR BARU
161;43;P;PEG.SWASTA FORMAL;3275000;01. JABOTABEK;MOTOR BARU
162;51;L;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
163;41;P;PEG.SWASTA FORMAL;2600000;04. JATENG;MOTOR BEKAS
164;31;L;PEG.SWASTA NON FORMAL;2600000;02. JABAR;MOTOR BEKAS
165;47;L;WIRASWASTA NON FORMAL;3600000;02. JABAR;MOTOR BARU
166;23;L;PEG.SWASTA FORMAL;3700000;02. JABAR;MOTOR BARU
167;36;P;PEG.NEGERI;5500000;02. JABAR;MOTOR BARU
168;51;P;WIRASWASTA NON FORMAL;2300000;02. JABAR;MOTOR BARU
169;52;L;WIRASWASTA NON FORMAL;3300000;02. JABAR;MOTOR BARU
170;46;L;WIRASWASTA NON FORMAL;4560000;02. JABAR;MOTOR BEKAS
171;43;L;PEG.NEGERI;6000000;06. SULAWESI;MOTOR BARU
172;40;L;PEG.SWASTA FORMAL;4600000;01. JABOTABEK;MOTOR BARU
173;42;L;PEG.SWASTA FORMAL;3800000;01. JABOTABEK;MOTOR BARU
174;24;P;PEG.SWASTA FORMAL;3650000;01. JABOTABEK;MOTOR BARU
175;42;L;PEG.NEGERI;4500000;08. SUMATERA UTARA;MOTOR BARU
176;46;L;WIRASWASTA NON FORMAL;5500000;08. SUMATERA UTARA;MOTOR BARU
177;36;L;WIRASWASTA NON FORMAL;2500000;06. SULAWESI;MOTOR BEKAS
178;57;P;WIRASWASTA NON FORMAL;3000000;01. JABOTABEK;MOTOR BARU
179;47;L;WIRASWASTA NON FORMAL;6000000;02. JABAR;MOTOR BARU
180;25;P;PEG.SWASTA FORMAL;11404393;01. JABOTABEK;MOTOR BARU
181;38;P;WIRASWASTA NON FORMAL;4200000;01. JABOTABEK;MOTOR BARU
182;57;L;PROFESIONAL;3600000;02. JABAR;MOTOR BARU
183;22;L;PEG.SWASTA FORMAL;2600000;01. JABOTABEK;MOTOR BEKAS
184;50;P;PEG.NEGERI;5000000;09. SUMATERA SELATAN;MOTOR BARU
185;32;L;PEG.SWASTA FORMAL;3600000;01. JABOTABEK;MOTOR BARU
186;36;L;PEG.SWASTA FORMAL;3200000;01. JABOTABEK;MOTOR BARU
187;57;L;WIRASWASTA NON FORMAL;10000000;01. JABOTABEK;MOTOR BARU
188;43;P;PEG.SWASTA FORMAL;5700000;03. JATIM;MOTOR BARU
189;49;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;2W_MPL
190;28;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
191;26;L;PEG.SWASTA FORMAL;3800000;03. JATIM;MOTOR BARU
192;44;P;WIRASWASTA NON FORMAL;5000000;03. JATIM;DURABLE
193;49;L;WIRASWASTA NON FORMAL;5300000;03. JATIM;MOTOR BARU
194;35;P;PEG.SWASTA FORMAL;2800000;03. JATIM;MOTOR BEKAS
195;40;L;WIRASWASTA NON FORMAL;3000000;03. JATIM;2W_MPL
196;36;L;WIRASWASTA FORMAL;4000000;03. JATIM;2W_MPL
197;51;L;PEG.NEGERI;5000000;03. JATIM;MOTOR BARU
198;39;L;WIRASWASTA FORMAL;6500000;03. JATIM;MOTOR BARU
199;47;L;PEG.SWASTA FORMAL;3500000;03. JATIM;MOTOR BARU
200;59;P;PEG.NEGERI;5107000;03. JATIM;MOTOR BARU
201;38;L;PEG.SWASTA FORMAL;6200000;03. JATIM;MOTOR BARU
202;43;L;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BARU
203;40;P;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BARU
204;36;L;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BARU
205;53;L;WIRASWASTA FORMAL;7000000;01. JABOTABEK;MOTOR BARU
206;36;L;PEG.SWASTA FORMAL;3000000;01. JABOTABEK;MOTOR BARU
207;41;L;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BARU
208;23;P;WIRASWASTA FORMAL;9000000;01. JABOTABEK;MOTOR BEKAS
209;46;L;PEG.SWASTA FORMAL;5300000;01. JABOTABEK;MOTOR BARU
210;27;L;PEG.SWASTA FORMAL;3900000;01. JABOTABEK;MOTOR BARU
211;27;L;PEG.SWASTA FORMAL;3800000;01. JABOTABEK;MOTOR BEKAS
212;40;P;WIRASWASTA FORMAL;18000000;01. JABOTABEK;4W_MPL
213;36;L;WIRASWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
214;44;P;WIRASWASTA FORMAL;6650000;01. JABOTABEK;MOTOR BARU
215;40;L;PEG.SWASTA NON FORMAL;3010000;03. JATIM;MOTOR BEKAS
216;35;P;WIRASWASTA FORMAL;3560000;02. JABAR;2W_MPL
217;24;L;PEG.SWASTA FORMAL;2250000;03. JATIM;MOTOR BARU
218;23;P;WIRASWASTA NON FORMAL;6000000;03. JATIM;MOTOR BARU
219;24;P;PEG.SWASTA FORMAL;3800000;03. JATIM;MOTOR BARU
220;53;L;PEG.NEGERI;5000000;03. JATIM;2W_MPL
221;33;L;WIRASWASTA NON FORMAL;5500000;05. KALIMANTAN;MOTOR BARU
222;33;L;WIRASWASTA NON FORMAL;5750000;01. JABOTABEK;2W_MPL
223;25;L;WIRASWASTA NON FORMAL;4000000;06. SULAWESI;MOTOR BARU
224;48;L;PEG.SWASTA FORMAL;5025000;05. KALIMANTAN;MOTOR BEKAS
225;36;L;WIRASWASTA NON FORMAL;3300000;06. SULAWESI;MOTOR BARU
226;43;P;WIRASWASTA NON FORMAL;4000000;02. JABAR;2W_MPL
